"De moraalridders van nu zijn niet zelden de mensen die vroeger ‘tolerantie’ predikten. De ""grilligheid"" van onze geschiedenis in beeld.....";positive;#groenlinks
"""Lokale partijen en #CDA WINNEN herindelingsverkiezingen"" als ochtendnieuws. Lekker wakker worden!";negative;#CDA
Dit is hoogstwaarschijnlijk een beloning voor de kritiekloze #propaganda aangaande het #coronabeleid van dit demissionaire kabinet.... #D66;negative;#D66
En dan komt de naam van Kaag weer voorbij en dan hoor ik mijn dochter verzuchten, ik heb echt op de verkeerde gestemd. #D66 #fail;positive;#D66
;positive;#D66
;positive;#CDA
;negative;#CDA
;negative;#groenlinks
;negative;#groenlinks
;negative;#D66
;negative;#D66
